UNIT,TIMESTAMP,TYPE,MARKET,INSTRUMENT,OPEN,HIGH,LOW,CLOSE,FIRST_TRADE_TIMESTAMP,LAST_TRADE_TIMESTAMP,FIRST_TRADE_PRICE,HIGH_TRADE_PRICE,HIGH_TRADE_TIMESTAMP,LOW_TRADE_PRICE,LOW_TRADE_TIMESTAMP,LAST_TRADE_PRICE,TOTAL_TRADES,TOTAL_TRADES_BUY,TOTAL_TRADES_SELL,TOTAL_TRADES_UNKNOWN,VOLUME,QUOTE_VOLUME,VOLUME_BUY,QUOTE_VOLUME_BUY,VOLUME_SELL,QUOTE_VOLUME_SELL,VOLUME_UNKNOWN,QUOTE_VOLUME_UNKNOWN
HOUR,2025-05-13 01:00:00,707,binance,BTCUSDT,102260.01,102714.29,102072.0,102400.48,1747098000,1747101598,102260.0,102714.29,1747099528,102072.0,1747100480,102400.48,209360,95962,113398,0,716.11702,73351518.8355594,424.17693,43451938.046785,291.94009,29899580.7887744,0,0
HOUR,2025-05-13 02:00:00,707,binance,BTCUSDT,102400.48,102701.82,101696.84,102067.99,1747101600,1747105199,102400.48,102701.82,1747102170,101696.84,1747102821,102067.99,261171,115176,145995,0,924.66581,94393944.6385152,411.46386,42014560.0406445,513.20195,52379384.5978707,0,0
HOUR,2025-05-13 03:00:00,707,binance,BTCUSDT,102067.99,102166.99,101429.7,101719.4,1747105200,1747108799,102067.98,102166.99,1747105951,101429.7,1747107054,101719.4,174883,73109,101774,0,962.27648,97899217.4047659,405.14771,41212817.4611969,557.12877,56686399.943569,0,0
HOUR,2025-05-13 04:00:00,707,binance,BTCUSDT,101719.4,102767.24,101610.56,102745.71,1747108800,1747112399,101719.4,102767.24,1747112381,101610.56,1747108832,102745.71,169195,84683,84512,0,1132.24142,115911492.684615,712.56854,72975519.2769366,419.67288,42935973.407767,0,0
HOUR,2025-05-13 05:00:00,707,binance,BTCUSDT,102745.71,102745.72,102264.34,102477.15,1747112400,1747115998,102745.72,102745.72,1747112400,102264.34,1747115012,102477.15,105024,46183,58841,0,1000.99313,102618008.550701,620.06033,63580255.2102369,380.9328,39037753.3404311,0,0
HOUR,2025-05-13 06:00:00,707,binance,BTCUSDT,102477.15,102688.77,102333.33,102552.0,1747116000,1747119599,102477.16,102688.77,1747116686,102333.33,1747117685,102552.0,92673,45519,47154,0,865.09002,88717401.2340851,499.10549,51189870.1930891,365.98453,37527531.040996,0,0
HOUR,2025-05-13 07:00:00,707,binance,BTCUSDT,102552.0,102943.28,102552.0,102665.5,1747119600,1747123199,102552.01,102943.28,1747120717,102552.0,1747119632,102665.5,87123,47783,39340,0,548.56772,56354111.5161971,304.73926,31306171.938324,243.82846,25047939.5778731,0,0
HOUR,2025-05-13 08:00:00,707,binance,BTCUSDT,102665.5,102958.81,102540.18,102722.0,1747123200,1747126799,102665.5,102958.81,1747124163,102540.18,1747124742,102722.0,89043,45586,43457,0,574.89898,59058250.9604028,205.32156,21097901.2340875,369.57742,37960349.7263153,0,0
HOUR,2025-05-13 09:00:00,707,binance,BTCUSDT,102722.0,103511.2,102722.0,103457.03,1747126800,1747130399,102722.0,103511.2,1747130159,102722.0,1747126802,103457.03,129924,72276,57648,0,997.62125,103002422.257992,647.22759,66820308.4339654,350.39366,36182113.8239376,0,0
HOUR,2025-05-13 10:00:00,707,binance,BTCUSDT,103457.03,103612.37,103273.84,103557.72,1747130400,1747133998,103457.02,103612.37,1747133934,103273.84,1747131566,103557.72,103978,47655,56323,0,809.33372,83700940.6165841,449.25392,46461428.5393034,360.0798,37239512.0772807,0,0
HOUR,2025-05-13 11:00:00,707,binance,BTCUSDT,103557.72,103822.03,103453.99,103729.2,1747134000,1747137599,103557.72,103822.03,1747136725,103453.99,1747134933,103729.2,88807,41799,47008,0,415.61196,43079889.0091713,206.68451,21423639.4686073,208.92745,21656249.540564,0,0
HOUR,2025-05-13 12:00:00,707,binance,BTCUSDT,103729.2,103966.0,103338.23,103682.52,1747137600,1747141199,103729.2,103966.0,1747140074,103338.23,1747139405,103682.52,224456,101560,122896,0,1411.6968,146426814.91435,716.78403,74354433.0189891,694.91277,72072381.8954,0,0
HOUR,2025-05-13 13:00:00,707,binance,BTCUSDT,103682.52,103932.2,103394.93,103715.87,1747141200,1747144799,103682.52,103932.2,1747143188,103394.93,1747143999,103715.87,229586,108497,121089,0,858.34947,88991602.5485694,443.34719,45968231.4878014,415.00228,43023371.060768,0,0
HOUR,2025-05-13 14:00:00,707,binance,BTCUSDT,103715.87,103746.04,102811.32,103191.65,1747144800,1747148399,103715.87,103746.04,1747144818,102811.32,1747145747,103191.65,268374,122102,146272,0,1336.03577,137854691.274823,518.55972,53518263.4666687,817.47605,84336427.8082895,0,0
HOUR,2025-05-13 15:00:00,707,binance,BTCUSDT,103191.65,103873.02,103132.15,103682.55,1747148400,1747151999,103191.64,103873.02,1747149192,103132.15,1747148445,103682.55,176878,85537,91341,0,845.30074,87547651.8113507,490.04167,50746597.3532798,355.25907,36801054.4580709,0,0
HOUR,2025-05-13 16:00:00,707,binance,BTCUSDT,103682.55,104394.61,103532.18,103725.85,1747152000,1747155599,103682.54,104394.61,1747152972,103532.18,1747152224,103725.85,230711,114836,115875,0,1296.14451,134875984.03426,643.90453,67011925.9923516,652.23998,67864058.0417096,0,0
HOUR,2025-05-13 17:00:00,707,binance,BTCUSDT,103725.85,104310.0,103712.5,104268.17,1747155600,1747159198,103725.85,104310.0,1747158705,103712.5,1747157761,104268.17,133420,67276,66144,0,737.88609,76740520.3225098,447.02256,46496571.9229193,290.86353,30243948.3995905,0,0
HOUR,2025-05-13 18:00:00,707,binance,BTCUSDT,104268.17,104428.58,104081.85,104354.19,1747159200,1747162799,104268.17,104428.58,1747160885,104081.85,1747161934,104354.19,128156,57156,71000,0,667.51343,69624232.7861168,327.26054,34135134.1163645,340.25289,35489098.6697523,0,0
HOUR,2025-05-13 19:00:00,707,binance,BTCUSDT,104354.19,104976.25,104158.73,104792.22,1747162800,1747166399,104354.19,104976.25,1747165727,104158.73,1747163389,104792.22,223079,112077,111002,0,2351.90796,246241487.206182,1022.46731,107015307.956989,1329.44065,139226179.24949,0,0
HOUR,2025-05-13 20:00:00,707,binance,BTCUSDT,104792.22,104928.0,104400.0,104562.39,1747166400,1747169999,104792.21,104928.0,1747166438,104400.0,1747166784,104562.39,139178,67543,71635,0,601.95317,62952387.1679166,292.86971,30625739.8249984,309.08346,32326647.3429182,0,0
HOUR,2025-05-13 21:00:00,707,binance,BTCUSDT,104562.39,104613.32,104179.0,104342.71,1747170000,1747173598,104562.4,104613.32,1747170088,104179.0,1747171501,104342.71,76852,35046,41806,0,391.26707,40846361.0523317,164.69403,17193875.6061263,226.57304,23652485.4462054,0,0
HOUR,2025-05-13 22:00:00,707,binance,BTCUSDT,104342.71,104432.03,104100.0,104128.5,1747173600,1747177199,104342.7,104432.03,1747173627,104100.0,1747176941,104128.5,110513,54235,56278,0,502.72511,52405096.5656374,283.42177,29546161.8451179,219.30334,22858934.7205195,0,0
HOUR,2025-05-13 23:00:00,707,binance,BTCUSDT,104128.5,104285.66,103869.01,104103.72,1747177200,1747180799,104128.5,104285.66,1747180315,103869.01,1747177530,104103.72,97734,48028,49706,0,555.94433,57875485.254178,196.51446,20458321.1091586,359.42987,37417164.1450194,0,0
HOUR,2025-05-14 00:00:00,707,binance,BTCUSDT,104103.72,104115.86,103763.85,103920.76,1747180800,1747184399,104103.72,104115.86,1747180806,103763.85,1747182697,103920.76,149277,68005,81272,0,1038.59479,107975322.15925,431.52369,44857980.2162514,607.0711,63117341.9429457,0,0
HOUR,2025-05-14 01:00:00,707,binance,BTCUSDT,103920.76,104082.71,103700.0,103734.82,1747184400,1747187999,103920.77,104082.71,1747187155,103700.0,1747187596,103734.82,179294,86625,92669,0,1074.76281,111702552.620166,498.77706,51839843.4844006,575.98575,59862709.1357587,0,0
